Adducts,dCCS,Link,id
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24608290,24608290
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768677,24768677
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768678,24768678
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768927,24768927
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769240,24769240
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769296,24769296
"M+H, M+Na",,http://nonlinear.com/redirect/outbound?p=chemspider&param=24769329,24769329
M+H,,http://nonlinear.com/redirect/outbound?p=chemspider&param=113381524,113381524
M+H,,http://nonlinear.com/redirect/outbound?p=chemspider&param=113381566,113381566
,,,113381577
,,,24608388
,,,34449009
,,,4446699
,,,74854277
,,,113376322
,,,113376482
,,,24768057
,,,29273241
,,,59662757
,,,59662765
,,,59662768
,,,59662785
,,,59662793
,,,59662797
,,,59662805
,,,59664300
,,,59664308
,,,59664315
,,,74875826
,,,74875846
,,,74875863
,,,74875905
,,,74875922
,,,74875973
,,,74875999
,,,74876024
,,,74876025
,,,74876050
,,,74876070
,,,74876084
,,,74876109
,,,74876133
,,,74876213
,,,74876214
,,,74876237
,,,74876238
,,,74876262
,,,74876287
,,,74876378
,,,74876385
,,,74876393
,,,74876399
,,,74876407
,,,74876413
,,,74876433
,,,74876441
,,,74876448
,,,74876453
,,,74876461
,,,74876467
,,,74876477
,,,74876484
,,,74876492
,,,74876516
,,,74876524
,,,74876530
,,,74876537
,,,74878439
,,,74878442
,,,74878455
,,,113375350
,,,113375928
,,,113375929
,,,113375974
,,,113379491
,,,24608292
,,,24608294
,,,24608296
,,,24608299
,,,24608300
,,,24608448
,,,24608472
,,,24768522
,,,24768523
,,,24768547
,,,24768548
,,,24768578
,,,24768763
,,,24768864
,,,24768865
,,,24768897
,,,24768898
,,,24768928
,,,24769086
,,,24769119
,,,24769235
,,,24769245
,,,24769246
,,,24769261
,,,24769271
,,,24769291
,,,24769292
,,,24769302
,,,24769303
,,,24769324
,,,24769325
,,,24769335
,,,24769336
,,,113371361
,,,113371414
,,,24765893
,,,24765933
,,,24765947
,,,24765955
,,,24765970
,,,24765981
,,,24766010
,,,24766011
,,,24766015
,,,24766024
,,,24766034
,,,24766035
,,,24766053
,,,24766059
,,,24766078
,,,24766131
,,,24766138
,,,24766149
,,,24766155
,,,24766156
,,,24766178
,,,24766184
,,,24766185
,,,24766203
,,,24766224
,,,24766251
,,,24766252
,,,24766315
,,,24766369
,,,24766398
,,,24766424
,,,35028125
,,,35028131
,,,35028141
,,,35028153
,,,35028160
,,,35028248
,,,35028271
,,,35028276
,,,35028294
,,,35028312
,,,35028335
,,,35028342
,,,35028391
,,,35028417
,,,74854387
,,,74854393
,,,74854403
,,,74854413
,,,74854420
,,,74854505
,,,74854522
,,,74854527
,,,74854532
,,,74854549
,,,74854565
,,,74854588
,,,74854595
,,,74854644
,,,74854661
,,,74854670
,,,7822672
,,,7822673
,,,7822677
,,,7822678
,,,7822745
,,,7822746
,,,7822747
,,,7822776
,,,7822777
,,,8524643
,,,113374964
,,,113374985
,,,113375013
,,,113375042
,,,113375097
,,,113375137
,,,113375179
,,,113375188
,,,113375198
,,,113375277
,,,113375655
,,,113375810
,,,113379197
,,,113379246
,,,24608176
,,,24608259
,,,24608267
,,,24608281
,,,24766631
,,,24766632
,,,24767319
,,,24767352
,,,24768485
,,,24768486
,,,24768514
,,,24768539
,,,24768603
,,,24768635
,,,24768667
,,,24768690
,,,24768718
,,,24768719
,,,24768749
,,,24768750
,,,24768781
,,,24768814
,,,24768846
,,,24768879
,,,24768911
,,,24768969
,,,24769000
,,,24769001
,,,24769030
,,,24769031
,,,24769062
,,,24769095
,,,30791798
,,,74850745
,,,74850746
,,,74850767
,,,74850789
,,,74850814
,,,74850815
,,,74850841
,,,74850842
,,,74850868
,,,74850869
,,,74850896
,,,74850925
,,,74850953
,,,74851008
,,,74851035
,,,74851036
,,,74851063
,,,74851091
,,,74851117
,,,74851118
,,,74851145
,,,74851146
,,,74851173
,,,74851286
,,,74851339
,,,74851472
,,,74876829
,,,74876855
,,,74876856
,,,74876904
,,,74876931
,,,74876956
,,,74877026
,,,74877051
,,,74877052
,,,74877102
,,,74877127
,,,74877153
,,,74877292
,,,74877334
,,,8277251
,,,8570854
,,,113375982
,,,113376028
,,,113379488
,,,113381811
,,,113381850
,,,113381855
,,,113381903
,,,113381910
,,,24608301
,,,24608476
,,,24608513
,,,24769055
,,,24769056
,,,24769087
,,,24769120
,,,24769276
,,,24769277
,,,24769308
,,,24769341
,,,78439549
,,,8322609
,,,9574915
,,,113371488
,,,113371569
,,,113371622
,,,113371867
,,,113371888
,,,113372020
,,,113372270
,,,113372331
,,,113372352
,,,113372618
,,,113372851
,,,113372898
,,,113373129
,,,113373161
,,,113373384
,,,113373408
,,,24608123
,,,24768197
,,,30777663
,,,30777669
,,,30777696
,,,30777701
,,,30777858
,,,30779215
,,,35015239
,,,35015245
,,,35015300
,,,35015307
,,,35015689
,,,35015892
,,,35016178
,,,35016185
,,,35016341
,,,35016343
,,,35016551
,,,35016606
,,,35016973
,,,35016980
,,,35020657
,,,35020659
,,,35020785
,,,35020805
,,,35020806
,,,35020826
,,,35020848
,,,35021422
,,,35021423
,,,59651639
,,,59651645
,,,59651701
,,,59651708
,,,59651847
,,,59651874
,,,59652068
,,,59652091
,,,59652125
,,,59652294
,,,59652537
,,,59652544
,,,59653332
,,,59653339
,,,59653499
,,,59653691
,,,59656904
,,,59656946
,,,59657052
,,,59657072
,,,59657073
,,,59657093
,,,59657115
,,,59657689
,,,59657690
,,,59673894
,,,75319997
,,,75320000
,,,75320007
,,,75320008
,,,75320016
,,,75320083
,,,75320095
,,,75320096
,,,75320183
,,,75320189
,,,75320197
,,,75320198
,,,75320205
,,,75320289
,,,75320296
,,,75320368
,,,75320369
,,,7822939
,,,113371562
,,,113371631
,,,113371641
,,,113371680
,,,113371698
,,,113371971
,,,113372054
,,,113372065
,,,113372078
,,,113372091
,,,113372103
,,,113372137
,,,113372144
,,,113372278
,,,113372340
,,,113372350
,,,113372361
,,,113372371
,,,113372406
,,,113372417
,,,113372537
,,,113372608
,,,113372691
,,,113372702
,,,113372712
,,,113372879
,,,113372895
,,,113372941
,,,113372969
,,,113372981
